"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"glatos","glatos","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.0",NA,"R (>= 3.2.0)","cellranger, data.table, fasterize, fasttime, gdalUtils,
gdistance, geosphere, jsonlite, knitr, lubridate, magrittr,
methods, openxlsx (>= 4.0.0), PBSmapping, plotrix, plotly,
plyr, purrr, raster, readxl, rgdal, rgeos, sf, sp, tibble,
tidyr",NA,"gganimate, gifsky, GISTools, png, rmarkdown, tint",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"gld","gld","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.6.6",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"globals","globals","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.16.3",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.3"
"glue","glue","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.7.0",NA,"R (>= 3.6)","methods",NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"goftest","goftest","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"googledrive","googledrive","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.1",NA,"R (>= 3.6)","cli (>= 3.0.0), gargle (>= 1.5.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar (>= 1.9.0), purrr (>=
1.0.1), rlang (>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs
(>= 0.3.0), withr",NA,"curl, dplyr (>= 1.0.0), knitr, mockr, rmarkdown, spelling,
testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"googlePolylines","googlePolylines","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8.4",NA,NA,"Rcpp (>= 1.0.10)","BH, Rcpp","covr, knitr, rmarkdown, sf, sfheaders, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"googlesheets4","googlesheets4","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.1",NA,"R (>= 3.6)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.5.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"readr, rmarkdown, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"googleway","googleway","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.7.8",NA,"R (>= 2.10.0)","jsonlite (>= 0.9.20), curl, htmlwidgets, htmltools, magrittr,
shiny, jpeg, utils, jqr, viridisLite, scales, grDevices,
googlePolylines (>= 0.7.1)",NA,"knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"gower","gower","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"graphlayouts","graphlayouts","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.1",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"gridExtra","gridExtra","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"gridGraphics","gridGraphics","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"GSODR","GSODR","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.1.1",NA,"R (>= 3.5.0)","countrycode, curl, data.table, R.utils, stats, utils",NA,"bit64, dplyr, ggplot2, gridExtra, knitr, mapproj, maps,
rmarkdown, roxyglobals, spelling, testthat, tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"gstat","gstat","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1-1",NA,"R (>= 2.10)","utils, stats, graphics, methods, lattice, sp (>= 0.9-72), zoo,
sf (>= 0.7-2), sftime, spacetime (>= 1.2-8), stars, FNN",NA,"fields, maps, mapdata, xts, raster, future, future.apply",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","4.3.1"
"gtable","gtable","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.5",NA,"R (>= 3.5)","cli, glue, grid, lifecycle, rlang (>= 1.1.0)",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"gtools","gtools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.9.5",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"hardhat","hardhat","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.0",NA,"R (>= 3.5.0)","cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), tibble (>=
3.2.1), vctrs (>= 0.6.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5), withr (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"haven","haven","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.5.4",NA,"R (>= 3.6)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0), utf8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"hexbin","hexbin","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.28.3",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"highr","highr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.11",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.3.3"
"Hmisc","Hmisc","C:/Users/bdav_/AppData/Local/R/win-library/4.3","5.1-3",NA,"R (>= 4.1.0)","methods, ggplot2, cluster, rpart, nnet, foreign, gtable, grid,
gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc, colorspace, rmarkdown, knitr, Formula",NA,"survival, qreport, acepack, chron, rms, mice, rstudioapi,
tables, plotly (>= 4.5.6), rlang, plyr, VGAM, leaps, pcaPP,
digest, parallel, polspline, abind, kableExtra, rio, lattice,
latticeExtra, gt, sparkline, jsonlite, htmlwidgets, qs,
getPass, keyring, safer, htm2txt",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"hms","hms","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"hoardr","hoardr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5.4",NA,NA,"R6, rappdirs, digest",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"htmlTable","htmlTable","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.4.3",NA,"R (>= 4.1)","stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, rmarkdown, chron, lubridate,
tibble, purrr, tidyselect, glue, rlang, tidyr (>= 0.7.2), dplyr
(>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.3"
"htmltools","htmltools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5.8.1",NA,"R (>= 2.14.1)","base64enc, digest, fastmap (>= 1.1.0), grDevices, rlang (>=
1.0.0), utils",NA,"Cairo, markdown, ragg, shiny, testthat, withr","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"htmlwidgets","htmlwidgets","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6.4",NA,NA,"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"httpcode","httpcode","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"httpuv","httpuv","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6.15",NA,"R (>= 2.15.1)","later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils","later, Rcpp","callr, curl, testthat, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"httr","httr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.7",NA,"R (>= 3.5)","curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"httr2","httr2","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.3",NA,"R (>= 4.0)","cli (>= 3.0.0), curl (>= 5.1.0), glue, lifecycle, magrittr,
openssl, R6, rappdirs, rlang (>= 1.1.0), vctrs (>= 0.6.3),
withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, later, promises, rmarkdown, testthat (>= 3.1.8), tibble,
webfakes, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"hypergeo","hypergeo","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2-13",NA,"R (>= 3.1.0),","elliptic (>= 1.3-5), contfrac (>= 1.1-9), deSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.2"
"ids","ids","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"igraph","igraph","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.3",NA,"methods, R (>= 3.5.0)","cli, graphics, grDevices, lifecycle, magrittr, Matrix,
pkgconfig (>= 2.0.0), rlang, stats, utils, vctrs","cpp11 (>= 0.4.7)","ape (>= 5.7-0.1), callr, decor, digest, graph, igraphdata,
knitr, rgl, rmarkdown, scales, stats4, tcltk, testthat, vdiffr,
withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"ini","ini","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"inlabru","inlabru","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.11.1",NA,"fmesher (>= 0.1.2), methods, R (>= 3.6), stats","dplyr, lifecycle, magrittr, MatrixModels, Matrix, plyr, rlang,
sf, sp (>= 1.4-5), terra, tibble, utils, withr",NA,"covr, ggmap, ggplot2, graphics, INLA (>= 23.01.31), knitr,
maps, mgcv, patchwork, raster, RColorBrewer, rgl, rmarkdown,
scales, shiny, sn, spatstat.geom, spatstat.data, sphereplot,
splancs, tidyterra, testthat, tidyr, DiagrammeR","stars","GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"insight","insight","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.20.4",NA,"R (>= 3.6)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, BH, blavaan (>= 0.5-5), blme, boot, brms,
broom, car, carData, censReg, cgam, clubSandwich, cobalt,
coxme, cplm, crch, curl, datawizard, effectsize, emmeans, epiR,
estimatr, feisr, fixest (>= 0.11.2), fungible, fwb, gam,
gamlss, gamlss.data, gamm4, gbm, gee, geepack, geoR, ggeffects,
GLMMadaptive, glmmTMB, glmtoolbox, gmnl, grDevices, gt,
httptest2, httr, httr2, interp, ivreg, JM, knitr, lavaan,
lavaSearch2, lfe, lme4, lmerTest, lmtest, logistf, logitr,
marginaleffects, MASS, Matrix, mclogit, mclust, MCMCglmm,
merTools, metaBMA, metadat, metafor, metaplus, mgcv, mice,
mlogit, mmrm, modelbased, multgee, MuMIn, nestedLogit, nlme,
nnet, nonnest2, ordinal, panelr, parameters, parsnip, pbkrtest,
performance, plm, poorman, PROreg (>= 1.3.0), pscl, psych,
quantreg, Rcpp, RcppEigen, rmarkdown, rms, robustbase,
robustlmm, rpart, rstanarm (>= 2.21.1), rstantools (>= 2.1.0),
rstudioapi, sandwich, serp, speedglm, splines, statmod, survey,
survival, svylme, testthat, tinytable (>= 0.1.0), TMB,
truncreg, tweedie, VGAM, WeightIt, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"IntCal","IntCal","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.1",NA,NA,NA,NA,"knitr, rmarkdown, utf8",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"interp","interp","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1-6",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv, Ryacas, ggplot2, gridExtra, lattice, stringi,
stringr, scatterplot3d, MASS","RcppEigen","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"intervals","intervals","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.15.5",NA,"R (>= 2.9.0)","utils, graphics, methods",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.3"
"inum","inum","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0-5",NA,"R (>= 3.3.0)","stats, libcoin (>= 1.0-0)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.2"
"ipred","ipred","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9-15",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"isdparser","isdparser","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.0",NA,NA,"tibble (>= 1.2), data.table (>= 1.10.0), lubridate",NA,"testthat, rmarkdown, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"isoband","isoband","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"iterators","iterators","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.3.1"
"jpeg","jpeg","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1-10",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"jqr","jqr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.4",NA,"R (>= 3.1.2)","magrittr, lazyeval",NA,"jsonlite, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"jquerylib","jquerylib","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"jsonify","jsonify","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.18)","rapidjsonr (>= 1.2.0), Rcpp","covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"jsonlite","jsonlite","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.8.8",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"kernlab","kernlab","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9-33",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"KernSmooth","KernSmooth","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.23-24","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.3.3"
"knitr","knitr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.48",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr (>= 0.11), methods, tools, xfun (>=
0.44), yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), jpeg, JuliaCall (>= 0.11.1),
magick, markdown (>= 1.3), png, ragg, reticulate (>= 1.4), rgl
(>= 0.95.1201), rlang, rmarkdown, sass, showtext, styler (>=
1.2.0), targets (>= 0.6.0), testit, tibble, tikzDevice (>=
0.10), tinytex (>= 0.46), webshot, rstudioapi, svglite",NA,"GPL",NA,NA,NA,NA,"no","4.3.3"
"ks","ks","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.14.2",NA,"R (>= 2.10.0)","FNN (>= 1.1), kernlab, KernSmooth (>= 2.22), Matrix, mclust,
mgcv, multicool, mvtnorm (>= 1.0-0), pracma",NA,"geometry, MASS, misc3d (>= 0.4-0), oz, plot3D, rgl (>= 0.66)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.3"
"labeling","labeling","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.3",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.3.1"
"later","later","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.2",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"lattice","lattice","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.22-6","recommended","R (>= 4.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"latticeExtra","latticeExtra","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6-30",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer,
interp, MASS",NA,"maps, mapproj, deldir, quantreg, zoo, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"lava","lava","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.8.0",NA,"R (>= 3.0)","cli, future.apply, graphics, grDevices, methods, numDeriv,
progressr, stats, survival, SQUAREM, utils",NA,"KernSmooth, Rgraphviz, data.table, ellipse, fields, geepack,
graph, knitr, rmarkdown, igraph (>= 0.6), lavaSearch2, lme4 (>=
1.1.35.1), MASS, Matrix (>= 1.6.3), mets (>= 1.1), nlme,
optimx, polycor, quantreg, rgl, targeted (>= 0.4), testthat (>=
0.11), visNetwork",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"lazyeval","lazyeval","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"leafem","leafem","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.3",NA,"R (>= 3.1.0)","base64enc, geojsonsf, htmltools (>= 0.3), htmlwidgets, leaflet
(>= 2.0.1), methods, raster, sf, png",NA,"clipr, leafgl, lwgeom, mapdeck, plainview, stars",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"leaflet","leaflet","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.2.2",NA,"R (>= 3.1.0)","crosstalk, htmltools, htmlwidgets (>= 1.5.4), jquerylib,
leaflet.providers (>= 2.0.0), magrittr, methods, png, raster
(>= 3.6.3), RColorBrewer, scales (>= 1.0.0), sp, stats,
viridisLite, xfun",NA,"knitr, maps, purrr, R6, RJSONIO, rmarkdown, s2, sf (>=
0.9-6), shiny, terra, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"leaflet.extras","leaflet.extras","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.1",NA,"R (>= 3.1.0), leaflet (>= 2.0.0)","htmlwidgets, htmltools, stringr, magrittr",NA,"jsonlite, readr, sf, xfun, testthat (>= 3.0.0)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"leaflet.providers","leaflet.providers","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.0",NA,"R (>= 2.10)","htmltools",NA,"jsonlite, testthat (>= 3.0.0), V8",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"leafpm","leafpm","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.0",NA,"R (>= 3.1.0)","dplyr, htmltools (>= 0.3), htmlwidgets, jsonlite, leaflet (>=
2.0.1), sf (>= 0.5-2),",NA,"testthat","geojsonio, mapedit, mapview, shiny","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"leafpop","leafpop","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.0",NA,NA,"base64enc, brew, htmltools, htmlwidgets, sf, svglite, uuid",NA,"lattice, leaflet (>= 2.0.0), sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"leafsync","leafsync","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.0",NA,"R (>= 3.1.0), methods","htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"lemon","lemon","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.9",NA,"R (>= 3.1.0)","ggplot2 (>= 3.4.2), plyr, grid, gridExtra, gtable, knitr (>=
1.12), lattice, scales",NA,"rmarkdown, stringr, dplyr, testthat, vdiffr, diffviewer",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"libcoin","libcoin","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0-10",NA,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"lifecycle","lifecycle","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.4",NA,"R (>= 3.6)","cli (>= 3.4.0), glue, rlang (>= 1.1.0)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"listenv","listenv","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9.1",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.3"
"lme4","lme4","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1-35.5",NA,"R (>= 3.6.0), Matrix, methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix (>=
1.2-3)","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"lmom","lmom","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.0",NA,"R (>= 3.0.0)","stats, graphics",NA,NA,NA,"Common Public License Version 1.0",NA,NA,NA,NA,"yes","4.3.1"
"locfit","locfit","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5-9.10",NA,"R (>= 4.1.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"lpSolve","lpSolve","C:/Users/bdav_/AppData/Local/R/win-library/4.3","5.6.20",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.3.2"
"lubridate","lubridate","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.9.3",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"lwgeom","lwgeom","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2-14",NA,"R (>= 3.3.0)","Rcpp, units, sf (>= 1.0-15)","Rcpp, sf (>= 0.6-0)","covr, sp, geosphere, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"magick","magick","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.8.4",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"magrittr","magrittr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
